Disaster Subgroup,Disaster Type,Disaster Subtype,Location,Magnitude,Magnitude Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damage ('000 US$),Start_Date,End_Date,Duration,Season,Primary_State,Deaths_log,Affected_log,Damage_log,Disaster Type_encoded,Disaster Subtype_encoded,Disaster Subgroup_encoded,Season_encoded,Primary_State_encoded,Magnitude Scale_encoded
Climatological,Drought,Drought,"Bihar, Orissa, Andhra Pradesh, Maharashtra, Gujarat, Madhya Prasdesh, Uttar Pradesh, Karnataka",,Km2,1993,3.0,1.0,1993,10.0,1.0,49.0,1175000.0,160000.0,1993-03-01,1993-10-01,214.0,Summer,Odisha,3.912023005428146,13.976779556623864,11.982935344196433,0,6,1,2,19,0
Climatological,Drought,Drought,Rajasthan,72000.0,Km2,1996,3.0,1.0,1996,4.0,1.0,49.0,30000.0,542400.0,1996-03-01,1996-04-01,31.0,Summer,Rajasthan,3.912023005428146,10.308985993422082,13.20376085926444,0,6,1,2,21,0
Climatological,Drought,Drought,"New Delhi city (Delhi province), Gujarat, Rajasthan, Madhya Prasdesh, Andhra Pradesh, Orissa, Maharashtra provinces",,Km2,2000,4.0,1.0,2001,4.0,1.0,20.0,50000000.0,588000.0,2000-04-01,2001-04-01,365.0,Summer,Odisha,3.044522437723423,17.72753358339242,13.28448392755959,0,6,1,2,19,0
Climatological,Drought,Drought,"Uttar Pradesh, Madhya Pradesh, Rajasthan, Punjab, Haryana, Delhi, Karnataka, Kerala, Nagaland, Orissa, Chhattisgarh, Himachal Pradesh, Gujarat, Maharashtra, Andhra Pradesh, Tamil Nadu provinces",560000.0,Km2,2002,7.0,1.0,2002,7.0,1.0,49.0,300000000.0,910722.0,2002-07-01,2002-07-01,1.0,Monsoon,Odisha,3.912023005428146,19.519293035953808,13.721994068535123,0,6,1,0,19,0
Climatological,Drought,Drought,"Bongaigaon, Cachar, Dhuburi, Goalpara, Golaghat, Hailakandi, Jorhat, Kamrup, Karbi Anglong, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Sibsagar, Barpeta, Darrang, Dhemaji, Dibrugarh, Karimganj, Nalbari, North Cachar Hills, Sonitpur, Tinsukia districts (Assam province), Bilaspur, Chamba, Hamirpur, Kangra, Kinnaur, Kullu, Lahaul and Spiti, Mandi, Shimla, Sirmaur, Solan, Una districts (Himachal Pradesh province), Chatra, Garhwa, Latehar, Palamu, Dumka, Deoghar, Giridih, Godda, Jamtara, Pakur, Sahibganj, Bokaro, Dhanbad, Purba Singhbhum, Gumla, Hazaribag, Koderma, Lohardaga, Ranchi, Simdega, Saraikela Kharsawan, Pashchim Singhbhum districts (Jharkhand province), Bishnupur, Chandel, Churachandpur, East Imphal, West Imphal, Senapati, Tamenglong, Thoubal, Ukhrul districts (Manipur province), Dimapur, Kohima, Phek, Mokokchung, Mon, Tuensang, Wokha, Zunheboto districts (Nagaland province), Ambedkar Nagar, Ballia, Bareilly, Basti, Deoria, Farrukkhabad, Fatehpur, Ghazipur, Hardoi, Hathras, Jaunpur, Kannauj, Kanpur Dehat, Mainpuri, Mau, Rae Bareli, Sultanpur, Sant Kabir Nagar, Unnao, Agra, Shahjahanpur, Faizabad, Meerut, Mahoba, Aligarh, Jyotiba Phule Nagar, Balrampur, Etah, Rampur, Ghaziabad, Gautam Buddha Nagar, Banda, Mathura, Allahabad, Auraiya, Jalaun, Varanasi, Chandauli, Moradabad, Azamgarh, Siddharth Nagar, Badaun, Sitapur, Firozabad, Saharanpur, Chitrakoot, Etawah, Bulandshahr, Kaushambi, Pilibhit, Muzaffarnagar, Kushinagar, Jhansi, Lucknow, Bijnor, Mirzapur districts (Uttar Pradesh province), Patna, Nalanda, Gaya, Buxar, Bhojpur, Rohtas, Bhabua, Siwan, Nawada, Munger, Aurangabad, Sheikhpura, Lakhisarai, Jamui, Bhagalpur, Banka, Saran, Jehanabad, Muzaffarpur, Sitamarhi, Begusarai, Madhepura, Kishanganj, Katihar, Vaishali districts (Bihar province), Bangalore Urban, Bangalore Rural, Kolar, Tumkur, Chitradurga, Davanagere, Chamrajnagar, Mysore, Mandya, Bellary, Koppal, Raichur, Gulbarga, Bidar, Belgaum, Bagalkot, Bijapur, Gadag districts (Karnataka province), Nanded, Latur, Aurangabad, Jalna, Bid, Parbhani, Osmanabad, Hingoli, Chandrapur, Yavatmal, Wardha, Thane, Raigarh, Nandurbar, Jalgaon, Amravati, Buldana, Washim, Garhchiroli, Pune, Satara, Sangli, Solapur, Kolhapur, Nashik, Dhule, Ahmednagar, Akola districts (Maharasthra province), Rewa, Satna, Sidhi, Shahdol, Anuppur, Umaria, Dindori, Jabalpur, Katni, Balaghat, Narsinghpur, Mandla, Sagar, Panna, Tikamgarh, Chhatarpur, Raisen, Vidisha, Damoh, Sehore, Gwalior, Guna, Ashoknagar, Shivpuri, Datia, Bhind, Morena, Sheopur, Shajapur, Dewas, Ratlam, East Nimar, Burhanpur, Barwani, Jhabua districts (Madhya Pradesh province), Ajmer, Alwar, Banswara, Barmer, Bhilwara, Bikaner, Bundi, Chittaurgarh, Churu, Dausa, Dungarpur, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jalor, Jhunjhunu, Jodhpur, Nagaur, Pali, Rajsamand, Sawai Madhopur, Sikar, Sirohi, Tonk, Udaipur districts (Rajasthan province)",,Km2,2009,7.0,1.0,2009,8.0,1.0,49.0,30000.0,160000.0,2009-07-01,2009-08-01,31.0,Monsoon,Karnataka,3.912023005428146,10.308985993422082,11.982935344196433,0,6,1,0,10,0
Climatological,Drought,Drought,"Tamil Nadu, Rajasthan, Jharkhand, Assam, Andhra Pradesh, Himachal Pradesh, Nagaland; Maharashtra, Bihar, Madhya Pradesh, Chhattisgarh, Telangana, Jharkand, Odisha states",,Km2,2015,1.0,1.0,2016,12.0,1.0,49.0,330000000.0,3000000.0,2015-01-01,2016-12-01,700.0,Winter,Andhra Pradesh,3.912023005428146,19.6146032154551,14.914123179965662,0,6,1,3,0,0
Climatological,Drought,Drought,"Karnataka, Maharashtra states",,Km2,2018,9.0,1.0,2019,6.0,1.0,49.0,8200000.0,1100000.0,2018-09-01,2019-06-01,273.0,Monsoon,Karnataka,3.912023005428146,15.919644834185693,13.910821646859095,0,6,1,0,10,0
Geophysical,Earthquake,Ground movement,"Harsil (near Gangotri, Uttarkashi's Bhagirathi valley, Uttar Pradesh)",6.1,Moment Magnitude,1991,10.0,20.0,1991,10.0,20.0,1500.0,54383.0,60000.0,1991-10-20,1991-10-20,1.0,Post-Monsoon,Uttar Pradesh,7.313886831633462,10.903825271935897,11.002116507732017,1,11,2,1,26,2
Geophysical,Earthquake,Ground movement,"Killari, Haegoan, Sostour, Holi (Latur and Osmanabad districts, Maharastra state)",6.4,Moment Magnitude,1993,9.0,29.0,1993,9.0,29.0,9748.0,30000.0,280000.0,1993-09-29,1993-09-29,1.0,Monsoon,Goa,9.184919994629272,10.308985993422082,12.54254845357358,1,11,2,0,5,2
Geophysical,Earthquake,Ground movement,Latur area,4.6,Moment Magnitude,1993,11.0,12.0,1993,11.0,12.0,49.0,525.0,160000.0,1993-11-12,1993-11-12,1.0,Post-Monsoon,Unknown,3.912023005428146,6.26530121273771,11.982935344196433,1,11,2,1,25,2
Geophysical,Earthquake,Ground movement,Jabalpur (Madhya Pradesh),6.0,Moment Magnitude,1997,5.0,22.0,1997,5.0,22.0,43.0,156500.0,37000.0,1997-05-22,1997-05-22,1.0,Summer,Madhya Pradesh,3.784189633918261,11.960817678718287,10.518700218288165,1,11,2,2,13,2
Geophysical,Earthquake,Ground movement,"Chamoli, Rudraprayag, Bageshwar (new district), Tehri Garhwal, Pauri Garhwal district",6.6,Moment Magnitude,1999,3.0,28.0,1999,3.0,28.0,100.0,477894.0,2000.0,1999-03-28,1999-03-28,1.0,Summer,Unknown,4.61512051684126,13.077146322071677,7.601402334583733,1,11,2,2,25,2
Geophysical,Earthquake,Ground movement,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",7.7,Moment Magnitude,2001,1.0,26.0,2001,1.0,26.0,20005.0,6321812.0,2623000.0,2001-01-26,2001-01-26,1.0,Winter,Unknown,9.903787507545125,15.659516592073151,14.77982964009179,1,11,2,3,25,2
